filename,Is Female,Names,Nouns,Organizations,Text,Verbs
3D_Print_Med/PMC6036601.nxml,,Teng Zhang;Matthew-Lun Wong;Lily Ma;Jin-Peng Lee;Nicholas K.W. Kwok;Jack Chun-Yiu Cheng,authors;import;contributions;software;development;advices;discussions,Winnie Chiu-Wing Chu,"The authors wish to acknowledge Teng Zhang, Matthew-Lun Wong, Ka-Long Ko, Ka-Hei Ko, Lily Ma, Jin-Peng Lee for their import contributions to the software development, and Nicholas K.W. Kwok, Winnie Chiu-Wing Chu, Jack Chun-Yiu Cheng for their great advices and helpful discussions.",wish;acknowledge
3D_Print_Med/PMC6036610.nxml,0.0,Amir Imanzadeh,authors;contribution;data;collection;preparation;manuscript,,The authors would like to thank Drs Bohdan Pomahac and Amir Imanzadeh for their invaluable contribution in data collection and in preparation of the manuscript.,like;thank
3_Biotech/PMC3339611.nxml,0.4565217391304348,Rup Lal;Jawaharlal Nehru University;Preeti Srivastava,clone;help;CD;experiments;comments;manuscript,Delhi University;Advanced Instrumentation Research Facility,"We thank Prof. Rup Lal of Delhi University for providing the  linA1 -B90 clone, Advanced Instrumentation Research Facility, Jawaharlal Nehru University, New Delhi, for help with CD experiments, and Dr. Preeti Srivastava of IITR, Lucknow, for comments on the manuscript.",thank;provide
3_Biotech/PMC3339590.nxml,,S.K. Sinha,assistance,Department of Biochemistry,"We thank Dr. S.K. Sinha, Department of Biochemistry for expert technical assistance.",thank
3_Biotech/PMC3339585.nxml,1.0,Smriti Shrivastava,,CSIR for Senior Research Fellowship,Smriti Shrivastava is thankful to CSIR for Senior Research Fellowship (,
3_Biotech/PMC3339604.nxml,,K. Ravikumar;R. Murugan,Authors;botanists;authentication;plant;samples;discussion,FRLHT,"Authors wish to thank Dr. K. Ravikumar and Mr. R. Murugan, botanists of FRLHT for authentication of plant samples and useful discussion.",wish;thank
3_Biotech/PMC3339604.nxml,,K.V. Krishnamurthy,Thanks;suggestions;manuscript,,Thanks are due to Prof. K.V. Krishnamurthy for his suggestions in preparing this manuscript.,prepare
3_Biotech/PMC3339612.nxml,1.0,Rosnah Mustafa,authors;comments;paper,,The authors wish to thank Rosnah Mustafa for her comments on the paper.,wish;thank
3_Biotech/PMC3339620.nxml,,Bijender Kumar Bajaj,,"the Department of Science and Technology;Ministry of Science and Technology, Govt","Dr. Bijender Kumar Bajaj gratefully acknowledges the Department of Science and Technology, Ministry of Science and Technology, Govt.",acknowledge
3_Biotech/PMC3339620.nxml,0.0,Yash P. Sharma;Yash P. Khajuria;Post Doctoral Fellow,fungus,University of Jammu;National Institute of Plant Genome Research,"Yash P. Sharma, Department of Botany, University of Jammu, and Dr. Yash P. Khajuria, Post Doctoral Fellow, National Institute of Plant Genome Research, New Delhi, are acknowledged for helping identify the fungus.",acknowledge;help;identify
3_Biotech/PMC3339618.nxml,0.0,Roy H. Doi;Volker Fischer,authors;gratitude;kind;donation;cellulovorans;constructs;thanks;yields;sugar;beet,the University of California (USA; C.,"The authors would like to express their gratitude to Professor Roy H. Doi from the University of California (USA) for the kind donation of the  C. cellulovorans  plasmid constructs, and thanks to Dr Volker Fischer from Agro-yields, South Africa, for kindly providing the sugar beet.",like;express;provide
3_Biotech/PMC3339608.nxml,,T. S. Lokeswari;K. K. Kumar,help;suggestions;course;work;manuscript;preparation,,The help of Dr. T. S. Lokeswari and Dr. K. K. Kumar for their valuable suggestions during the entire course of work and in manuscript preparation is acknowledged.,acknowledge
3_Biotech/PMC3339608.nxml,0.0,Samuel S. Gnanamanickam,authors;help;lab;facilities;house;facility;work,Dr. Ajay Parida,The authors gratefully acknowledge the timely help from Dr. Samuel S. Gnanamanickam and Dr. Ajay Parida for providing lab facilities and green house facility for part of the work.,acknowledge;provide
3_Biotech/PMC3339622.nxml,1.0,Deborah Stenzel,assistance;electron;microscopy,,"We thank Dr Deborah Stenzel, QUT, for assistance in electron microscopy.",thank
3_Biotech/PMC3339622.nxml,0.0,Christopher D. Ogg,recipient,Griffith University’s Australian Post-Graduate Research Award (APRA,Christopher D. Ogg is a recipient of Griffith University’s Australian Post-Graduate Research Award (APRA).,
3_Biotech/PMC3339603.nxml,0.0,Gaurav Sablok,,,Gaurav Sablok,
3_Biotech/PMC3339603.nxml,0.5714285714285714,Jennifer Ann Harikrishna;Lee Wan Sin,facilities,"the Centre for Research in Biotechnology for Agriculture (CEBAR;Genetics;Molecular Biology Division;Institute of Biological Sciences;Faculty of Science, University of Malaya","Jennifer Ann Harikrishna and Lee Wan Sin thank the Centre for Research in Biotechnology for Agriculture (CEBAR) and the Genetics and Molecular Biology Division, Institute of Biological Sciences, Faculty of Science, University of Malaya, Kuala Lumpur, Malaysia for providing computational facilities.",thank;provide
3_Biotech/PMC3339607.nxml,,Bijender Kumar Bajaj,thanks,"the Department of Science and Technology, Ministry of Science and Technology, Govt","Dr. Bijender Kumar Bajaj thanks the Department of Science and Technology, Ministry of Science and Technology, Govt.",
3_Biotech/PMC3482451.nxml,,A.S. Bawa,authors;guidance;encouragement,"Defence Food Research
Laboratory","The authors are grateful to Dr. A.S. Bawa, Director, Defence Food Research
Laboratory, Mysore, for providing constant guidance and encouragement.",provide
3_Biotech/PMC3482448.nxml,1.0,Laura Cox,advice,the Texas Biomedical Research Institute,The advice of Dr Laura Cox of the Texas Biomedical Research Institute is gratefully acknowledged.,acknowledge
3_Biotech/PMC3482444.nxml,0.0,Jayesh Bellare,authors;facilities;surface;area;measurement;analysis;samples,Department of Chemical Engineering;IIT Bombay;BET;Centre for Research in Nanotechnology and Science—Sophisticated Analytical Instrumental Centre;CRNTS;IIT Bombay,"The authors would like to thank Prof. Jayesh Bellare, Department of Chemical Engineering, IIT Bombay for providing facilities for BET surface area measurement and Centre for Research in Nanotechnology and Science—Sophisticated Analytical Instrumental Centre (CRNTS-SAIF) at IIT Bombay for FTIR analysis of algal samples.",like;thank;provide
3_Biotech/PMC4987636.nxml,,Kiransinh Rajput,teachers;fellowship;course;study,the University Grants Commission,"Kiransinh Rajput is thankful to the University Grants Commission, New Delhi, for providing teachers fellowship during the course of the study.",provide
3_Biotech/PMC3339602.nxml,,G. S. Avadhani;Research Scientist,TEM;images,TEM,"The Authors are grateful to Dr. G. S. Avadhani, Principal Research Scientist, IISc, India, for taking TEM images.",take
3_Biotech/PMC3433876.nxml,,K. Veluthambi,tumefaciens;strain;pCAMBIA2301," Agrobacterium;Center for
Application of Molecular Biology;International Agriculture (CAMBIA","We thank Prof. K. Veluthambi, MKU, Madurai, India for  Agrobacterium tumefaciens  strain and Center for
Application of Molecular Biology to International Agriculture (CAMBIA), Australia
for pCAMBIA2301.",thank
3_Biotech/PMC4434411.nxml,0.0,Gerhard Kauer,help,Univeristy of Applied Sciences Emden,We would like to thank Gerhard Kauer (Univeristy of Applied Sciences Emden) for his help.,like;thank
3_Biotech/PMC3597131.nxml,,T. Kumar,authors;spectra;analyst;interpretation;spectra;results;facilities;work,SRM University,The authors are thankful to Dr. T. Kumar Mass spectra analyst for the interpretation of mass spectra results and the facilities provided by SRM University to support this work.,provide;support
3_Biotech/PMC3597135.nxml,,Rhitu Rai,Help;preparation;solutions;reading;manuscript,,"Help of Ms Payal Gupta, Mr R N Gupta in preparation of solutions, and critical reading of manuscript by Dr Rhitu Rai is gratefully acknowledged.",acknowledge
3_Biotech/PMC3597133.nxml,,A. Subrahmanyam,authors;thanks;strain;study,Meerut Institute of Engineering and Technology,"The authors want to express their thanks to Prof. A. Subrahmanyam, Meerut Institute of Engineering and Technology, Meerut, India for providing the strain for this study.",want;express;provide
3_Biotech/PMC3723860.nxml,,R. Malhotra,authors;help;analysis;data,Scientist (Statistics;National Dairy Research Institute,"The authors are thankful to Dr. R. Malhotra, Scientist (Statistics), National Dairy Research Institute (NDRI), Karnal for his help in statistical analysis of the data.",
3_Biotech/PMC3781265.nxml,,S.B. Roy,thanks;facility,Department of Physics;Banaras Hindu University;UP,"We would like to pay our sincere thanks to Dr. S.B. Roy for providing us FT-IR facility at Department of Physics, Banaras Hindu University, Varanasi 221005, UP, India.",like;pay;provide
3_Biotech/PMC3824786.nxml,,M. Pitchaimuthu;Principal Scientist,vegetable;okra;genotypes,Division of;Bangalore,"M. Pitchaimuthu, Principal Scientist, Division of vegetable Crops, IIHR, Bangalore for providing us the okra genotypes.",provide
3_Biotech/PMC3824786.nxml,,H.C. Prasanna,crop;improvement;suggestions;manuscript;preparation,Division of;Indian Institute Vegetable Research,"We are thankful to Dr. H.C. Prasanna, Division of crop improvement, Indian Institute Vegetable Research, India for his suggestions in manuscript preparation.",
3_Biotech/PMC3824784.nxml,0.0,Thomas M. Gradziel,plant;materials;study,,We thank Thomas M. Gradziel for providing plant materials for this study.,thank;provide
3_Biotech/PMC3824784.nxml,0.5,Helen Chan;Pedro J Martinez Garcia,Authors;laboratory;assistant;collaboration;lab;work;data;analysis,UC Davis,"Authors thank Helen Chan laboratory assistant and Pedro J Martinez Garcia postdoc at UC Davis, for their collaboration in lab work and data analysis.",thank;postdoc
3_Biotech/PMC3563744.nxml,0.0,David Summers,discussion;comments,Department of Genetics;University of Cambridge,"We would like to thank Prof David Summers (Department of Genetics, University of Cambridge) for helpful discussion and constructive comments.",like;thank
3_Biotech/PMC3563746.nxml,,S. Swaminathan,authors;gratitude;support;encouragement,"Centre for Nanotechnology;Advanced Biomaterials;Dean, Sponsored Research;SASTRA","The authors wish to express their sincere gratitude to Dr. S. Swaminathan (Director, Centre for Nanotechnology and Advanced Biomaterials and Dean, Sponsored Research, SASTRA, Thanjavur) for his constant support and encouragement.",wish;express
3_Biotech/PMC3563740.nxml,0.0,Arka Shirish,help;seeds,Indian Institute of Horticultural Research (IIHR,We acknowledge the help of Indian Institute of Horticultural Research (IIHR) for providing the seeds of Arka Shirish.,acknowledge;provide
3_Biotech/PMC3646113.nxml,0.0,Shripad N. Surwase;James S. Hyde;Christopher C. Felix,analysis;facility,Department of Biophysics and Center for Imaging Research Medical College of Wisconsin;EPR,"Shripad N. Surwase is thankful to Dr. James S. Hyde and Dr. Christopher C. Felix, Department of Biophysics and Center for Imaging Research Medical College of Wisconsin, Milwaukee, WI, USA, for providing EPR analysis facility.",provide
3_Biotech/PMC3646113.nxml,0.0,Shekhar B. Jadhav,fellowship;PURSE;program,"Department of Science and Technolgy, Government of;DST-PURSE","Shekhar B. Jadhav is thankful to Department of Science and Technolgy, Government of India, for providing fellowship under DST-PURSE program.",provide
3_Biotech/PMC3781264.nxml,,Fundacão de Amparo,authors,,The authors are thankful to Fundacão de Amparo,
3_Biotech/PMC3781266.nxml,0.5,Shilpi Thakur;Bhuvnesh Shrivastava,,Council of Scientific and Industrial Research;CSIR,"Ms. Shilpi Thakur and Mr. Bhuvnesh Shrivastava wish to acknowledge Council of Scientific and Industrial Research (CSIR), New Delhi, India for Senior Research Fellowship.",wish;acknowledge
3_Biotech/PMC3781266.nxml,,Vallabh Vidyanagar,instrumentation;facilities,Shilpi Thakur;Sophisticated Instrumentation Centre for Applied Research;Testing (SICART),"Shilpi Thakur also wants to acknowledge Sophisticated Instrumentation Centre for Applied Research and Testing (SICART), Vallabh Vidyanagar, Gujarat, India for providing instrumentation facilities.",want;acknowledge;provide
3_Biotech/PMC4949164.nxml,,P.P. Dhyani,facilities;encouragement,GBPIHED,"We thank Dr. P.P. Dhyani, Director GBPIHED for facilities and encouragement.",thank
3_Biotech/PMC3781261.nxml,1.0,Amrita Ranjan,authors;fellowship,the Ministry of New and Renewable Energy;NRE,The authors acknowledge the Ministry of New and Renewable Energy for providing NRE fellowship to Ms. Amrita Ranjan.,acknowledge;provide
3_Biotech/PMC4026452.nxml,,G. Bagyanarayana;K. Venkatachalam,authors;support;encouragement,Registrar;Palamuru University,"The authors are thankful to Prof. G. Bagyanarayana, Vice Chancellor and Prof. K. Venkatachalam, Registrar, Palamuru University for the constant support and encouragement.",
3_Biotech/PMC3964253.nxml,,B. Meyer;M. Rajab;M. Al-Buhairi;N. Venturina;M. Shoukri,DNA;sequencing;assistance;advice,,"We wish to thank Dr. B. Meyer, Mr. M. Rajab for helping in DNA sequencing, M. Al-Buhairi, N. Venturina for technical assistance, and Dr. M. Shoukri for statistical advice.",wish;thank;help
3_Biotech/PMC3964258.nxml,,R. Chenraj Jain;N. Sundararajan;S. Sundara Rajan,thanks;laboratory;facilities;research;work,"Jain Group of Institutions;Jain University;Genohelix Biolabs;A Division of Centre for Advanced Studies;Biosciences, Jain University, Bangalore","Our special thanks to Dr. R. Chenraj Jain, Chairman of Jain Group of Institutions, Dr. N. Sundararajan, Vice-Chancellor of Jain University and Dr. S. Sundara Rajan, Director of Genohelix Biolabs, A Division of Centre for Advanced Studies in Biosciences, Jain University, Bangalore for providing us with the laboratory facilities required for this research work.",provide;require
3_Biotech/PMC4145622.nxml,0.0,Pradosh Roy;Sujoy Kumar Dasgupta,support,Department of Microbiology;Bose Institute,"We thank late Dr. Pradosh Roy and Prof. Sujoy Kumar Dasgupta, Department of Microbiology, Bose Institute, Kolkata for their active support.",thank
3_Biotech/PMC4145627.nxml,0.0,Manoj Ranjan Nayak,encouragement;support,Anusandhan University,"We are thankful to Prof. Manoj Ranjan Nayak, President, Siksha O Anusandhan University for his encouragement and support.",
3_Biotech/PMC4145620.nxml,0.0,Emmanuel Aispuro-Hernández,Authors;support,,"Authors thank Emmanuel Aispuro-Hernández, M.Sc. for technical support and Drs.",thank
3_Biotech/PMC4145620.nxml,0.5025125628140703,Rogerio R. Sotelo-Mundo;Adriana Muhlia-Almazan,revisions;suggestions,,Rogerio R. Sotelo-Mundo and Adriana Muhlia-Almazan for helpful revisions and suggestions.,
3_Biotech/PMC4162903.nxml,0.0,Jatin K Srivastava,contributors;review;article;chairman;facilities;compilation;review;paper,Global Group of Institutions,The Corresponding and the one of the main contributors of this review article Dr. Jatin K Srivastava is acknowledged to the chairman of Global Group of Institutions Lucknow for providing the necessary facilities during the compilation of this review paper.,acknowledge;provide
3_Biotech/PMC4145623.nxml,,S. Chakravarthi;S.P. Subramani;S. Shanmugam,authors;Mayavel;seeds,A. Mayavel;V. Chinnadurai,"The authors acknowledge B. Nagarajan, A. Mayavel, S. Chakravarthi, S.P. Subramani, S. Shanmugam, V. Chinnadurai for producing the hybrid seeds.",acknowledge;produce
3_Biotech/PMC4145623.nxml,,M. Ganesan,field;assessment,V.K.W. Bachpai,V.K.W. Bachpai and M. Ganesan has field planted the F 1  hybrids for further assessment.,plant;hybrid
3_Biotech/PMC4145623.nxml,,N. Krishna Kumar,Authors;support;study,IFGTB,"Authors are grateful to Dr. N. Krishna Kumar, Director, IFGTB for his constant support to carry out this study.",carry
3_Biotech/PMC4235891.nxml,,U Basu;University of Kalyani;P Roy,authors;nanodrop;TEM;facilities,TEM,"The authors would like to thank Dr. U Basu (Department of Molecular Biology and Biotechnology, University of Kalyani) and Dr. P Roy (SINP) for providing nanodrop and TEM facilities, respectively.",like;thank;provide
3_Biotech/PMC4235882.nxml,0.0,Medhat El-Sebaie,cooperation;blood;donors;participation;research,,We acknowledge the cooperation of Dr. Medhat El-Sebaie and the honorable blood donors for their participation in this research.,acknowledge
3_Biotech/PMC4235882.nxml,0.7455470737913485,Nikki Venturina;Sara Al-Qahtani;Najla Al-Harbi;David Lloyd,assistance;advice;curve;fitting;advices;team;assistance,IRSN;Biotechnology Unit,"We would like to thank Nikki Venturina, Sara Al-Qahtani and Najla Al-Harbi for their technical assistance, Dr. Joan-Francesc Barquinero, IRSN, France, for his advice on curve fitting, Professor David Lloyd for his expert advices and the Biotechnology Unit team for their administrative assistance.",like;thank
3_Biotech/PMC4235887.nxml,0.0,Kazuki Terauchi,A.;platensis,,A. platensis  NIES-39 was kindly provided by Dr. Kazuki Terauchi.,provide
3_Biotech/PMC4235890.nxml,,S.C. Basappa,encouragement;comments;manuscript,Scientist;Central Food Technological Research Institute;CFTRI,"We are thankful to Dr. S.C. Basappa, former Deputy Director and Scientist, Central Food Technological Research Institute (CFTRI), Mysore, for his encouragement and critical comments on the manuscript.",
3_Biotech/PMC4026454.nxml,1.0,Tamil Nadu,authors;authorities,Annamalai University,"The authors are thankful to the authorities of Annamalai University, Tamil Nadu, India.",
3_Biotech/PMC4026448.nxml,,RR Baadhe,authors;RR;Ph.D.;fellowship,,"One of the authors, RR Baadhe, acknowledges M.H.R.D, India, for the Ph.D. fellowship.",acknowledge
3_Biotech/PMC4624149.nxml,,B. N. Johri,Authors;editing;review;manuscript,,Authors are also thankful to Prof. B. N. Johri for editing and review of the manuscript.,
3_Biotech/PMC4026447.nxml,,K. R. Kranthi,authors;encouragement;support,Central Institute for Cotton Research,"The authors thank Dr. K. R. Kranthi, Director, Central Institute for Cotton Research, Nagpur, for his encouragement and support.",thank
3_Biotech/PMC4026449.nxml,,S. Girisham,authors;department;laboratory;facilities,Kakatiya University Warangal,"The authors are thankful to Prof. S. Girisham, Head of the department Microbiology, Kakatiya University Warangal for providing laboratory facilities.",provide
3_Biotech/PMC4026451.nxml,0.0,Matthew Benedict,suggestions,,We also thank Matthew Benedict for his helpful suggestions.,thank
3_Biotech/PMC4026446.nxml,1.0,Sunita Prakash,mass;spectrometers,KP,KP acknowledges Ms. Sunita Prakash for helping with mass spectrometers.,acknowledge;help
3_Biotech/PMC4162895.nxml,0.0,Arya Vaidya Sala,Authors;facilities;programme,TATA Trust,"Authors are grateful to the Management, Arya Vaidya Sala, Kottakkal and TATA Trust, Mumbai, for providing the facilities for taking up the programme.",provide;take
3_Biotech/PMC4162895.nxml,,P. Vipin,help,,Technical help rendered by Mr. P. Vipin is also gratefully acknowledged.,render;acknowledge
3_Biotech/PMC4162902.nxml,1.0,Natsuko Kurata,reference;strains;parasporin;genes,Food Research Institute;Fukuoka Industrial Technology Centre,"We thank Dr. Natsuko Kurata, Biotechnology and Food Research Institute, Fukuoka Industrial Technology Centre, Japan, for providing the reference strains of Bt for parasporin genes.",thank;provide
3_Biotech/PMC4162892.nxml,,Kazunobu Matsushita,assistance,Yamaguchi University,We thank Dr. Kazunobu Matsushita (Yamaguchi University) for technical assistance.,thank
3_Biotech/PMC4162896.nxml,1.0,Parvin Shariati,authors;language,,The authors would like to acknowledge Dr. Parvin Shariati for kindly editing the English language.,like;acknowledge;edit
3_Biotech/PMC4162901.nxml,,B. J. Rao,wish;use;laboratory;work,R.C.C;Department of Biological Sciences;Tata Institute of Fundamental Research,"E.C, J.D and R.C.C wish to thank Prof. B. J. Rao, Department of Biological Sciences, Tata Institute of Fundamental Research, India for permitting the use of his laboratory during the initial part of this work.",thank;permit
3_Biotech/PMC4624133.nxml,0.0,Pascal Ratet;Stephan Winter,,ISV;CNRS;DSMZ,"We thank Dr. Pascal Ratet, ISV, CNRS, Gif-sur-Yvette, France, for providing the pCAMBIA3301 and modified pCAMBIA1390 and Dr. Stephan Winter, DSMZ, Braunschweig, Germany, for providing purified WnCSV (Sudan isolate).",thank;provide;modify;provide;isolate
3_Biotech/PMC4624133.nxml,1.0,Meena Sakharkar,Web;interface,NUS,"The Web interface for Signal Scan was kindly provided by Ms. Meena Sakharkar at Bioinformatics Centre, NUS, Singapore.",provide
3_Biotech/PMC4327756.nxml,0.3464052287581699,Jean Jacques Letesson;Stephan Köhler,input;annotations,Maite Iriarte,"We thank Jean Jacques Letesson, Maite Iriarte, Stephan Köhler and David O’Callaghan for their input on improving specific annotations.",thank;improve
3_Biotech/PMC4327754.nxml,,Hildebert Wagner,authors;comments;manuscript,"Center of Pharma-Research, Institute of Pharmacy LM-University of Munich","The authors are grateful to Professor Hildebert Wagner Center of Pharma-Research, Institute of Pharmacy LM-University of Munich, Germany, for his valuable comments on the manuscript.",
3_Biotech/PMC4327757.nxml,,Andhra Pradesh,authors;university;authorities;laboratory;facilities,"Sri Venkateswara
University","The authors are thankful to university authorities of Sri Venkateswara
University, Tirupati, Andhra Pradesh, India, for providing laboratory
facilities.",provide
3_Biotech/PMC4434417.nxml,,K. Prashanthi,thanks;assistance;analysis,"Jain University, Bangalore;HPLC","We express our heartfelt thanks to Mrs. K. Prashanthi, Jain University, Bangalore, for her assistance in HPLC analysis.",express
3_Biotech/PMC4362734.nxml,0.5,Daniel van de Pas;Katrina Martin,authors;preparation;analysis;substrate;ion;chromatography,SEW,The authors wish to thank Daniel van de Pas for SEW preparation and Katrina Martin for analysis of the substrate using ion chromatography.,wish;thank
3_Biotech/PMC4362734.nxml,0.5025125628140703,Ruth Falshaw;Ian Suckling,help;proof;manuscript,,The help offered by Dr. Ruth Falshaw and Dr. Ian Suckling in proof reading this manuscript is also acknowledged.,offer;read;acknowledge
3_Biotech/PMC4362742.nxml,,A. N. Pathak,Authors;A.;proof;reading;support;review;paper,Institute of Biotechnology;Amity University Rajasthan,"Authors are very much grateful to Professor (Dr.) A. N. Pathak, Director, Institute of Biotechnology, Amity University Rajasthan, for proof reading and moral support in preparing of this review paper.",prepare
3_Biotech/PMC4909026.nxml,,Shohre Khorshidi,gratitude;suggestions;preparation;manuscript;expert;editing,,We express our deep gratitude to Dr. Shohre Khorshidi for her stylistic suggestions in the preparation of the manuscript and her expert editing.,express
3_Biotech/PMC4909027.nxml,1.0,Dikili Ciftlik;Fidan A. S,authors;A.;rootstock;samples,Plant Tissue Culture Laboratory,"The authors would like to thank Plant Tissue Culture Laboratory of Dikili Ciftlik in vitro Fidan A. S, Dikili-Izmir, Turkey, for kindly providing us endophytes comprising rootstock samples.",like;thank;provide;endophyt;comprise
3_Biotech/PMC4522729.nxml,,Yuehan Lu;John Delton Hanson;Katherine V. Hughes;Matthew Pace,results;analysis;sediment;samples;bTEFAP;samples;CAS;IT;computer;support,University of Alabama;GC;Testing Laboratory;TX;UAB,"We also thank Yuehan Lu, University of Alabama, Tuscaloosa, AL, for providing the results of the GC–MS analysis of the sediment samples; John Delton Hanson of Research and Testing Laboratory, TX for assisting us with the bTEFAP of the samples; Katherine V. Hughes and Matthew Pace of UAB CAS IT for computer support.",thank;provide;assist
3_Biotech/PMC4522722.nxml,1.0,Amisha Jain,fellowship,AICTE;All India Council for Technical Education,"Amisha Jain is thankful to AICTE (All India Council for Technical Education, New Delhi, India) for fellowship.",
3_Biotech/PMC4919950.nxml,0.0,Aditya Shastri,Authors;research;facilities;infrastructure,"
Banasthali University","Authors sincerely acknowledge Prof. Aditya Shastri, Vice Chancellor,
Banasthali University for research facilities and infrastructure.",acknowledge
3_Biotech/PMC4522721.nxml,0.5,Paul Anderson;Eliana Gaitan-Solis,thanks;staff,,"Special thanks go to the Donald Danforth Plant Science Centre staff particularly Paul Anderson, Eliana Gaitan-Solis and Prof",
3_Biotech/PMC4522721.nxml,0.17482517482517482,Francis Addy;Virginia Kimani;Cyrus Mugambi;Kevin Juma;Roy Gitonga;Wilson Karubiu,parents;friends;contribution;achievement,Immaculate Makoko,"I am indebted to my parents, friends (Francis Addy, Virginia Kimani, Cyrus Mugambi, Kevin Juma, Roy Gitonga, Immaculate Makoko and Wilson Karubiu) for their contribution towards this achievement.",
3_Biotech/PMC4522723.nxml,,K. C. Patel;Sardar Patel University;Vallabh Vidyanagar;J. D. Patel,authors;support;suggestion;laboratory;facilities;course;study,B.R.D. School of Biosciences;Department of Chemistry;Shri A.N. Patel Post Graduate Institute,"The authors are grateful to the Dr. K. C. Patel, B.R.D. School of Biosciences, Sardar Patel University, Vallabh Vidyanagar, and Dr. J. D. Patel, Department of Chemistry, Shri A.N. Patel Post Graduate Institute, Anand, Gujarat, India, for providing the kind support, suggestion and laboratory facilities during the course of this study.",provide
3_Biotech/PMC4522719.nxml,,Nandadulal Bhattacharyya,paper,Vidyasagar Institute of Health,"The paper has been meticulously revised by Prof. Nandadulal Bhattacharyya, Vidyasagar Institute of Health, Midnapore was greatly acknowledged.",revise;acknowledge
3_Biotech/PMC4569639.nxml,,Grain Legumes,work,the CGIAR Research Program,This work has been undertaken as part of the CGIAR Research Program on Grain Legumes.,undertake
3_Biotech/PMC4569639.nxml,1.0,M. Lakshman;Ruska Lab,analysis;staff;biocontrol;unit,College of Veterinary Science;Rajendranagar;SEM;ICRISAT;M/s PVS,"We thank Dr. M. Lakshman, Associate Professor, Ruska Lab, College of Veterinary Science, Rajendranagar, Hyderabad, for SEM analysis and all the staff of the biocontrol unit of ICRISAT including M/s PVS.",thank;include
3_Biotech/PMC4569639.nxml,,S. Rohini,contributions;laboratory;field;studies,P. Manohar;B. Nagappa,"Prasad, P. Manohar, B. Nagappa, D. Barath, A. Jabbar and S. Rohini for their significant contributions in the laboratory and field studies.",
